Current Time, Keystroke, Video Name
0.437727, a, 9B_Final_ParkingLot_Var1_NH.mp4
0.551626, s, 9B_Final_ParkingLot_Var1_NH.mp4
0.648508, d, 9B_Final_ParkingLot_Var1_NH.mp4
0, a, 5B_Final_Metro_Var1_NH.mp4
0, s, 5B_Final_Metro_Var1_NH.mp4
0, d, 5B_Final_Metro_Var1_NH.mp4
0.389949, a, 5B_Final_Metro_Var1_NH.mp4
0.472252, s, 5B_Final_Metro_Var1_NH.mp4
0.561225, d, 5B_Final_Metro_Var1_NH.mp4
0, a, 5B_Final_Metro_Var1_NH.mp4
0, s, 5B_Final_Metro_Var1_NH.mp4
0, d, 5B_Final_Metro_Var1_NH.mp4
0.416937, a, 2B_Converted_Beach1_Var1_NH.mp4
0.493706, s, 2B_Converted_Beach1_Var1_NH.mp4
0.577296, d, 2B_Converted_Beach1_Var1_NH.mp4
0.561556, a, 6B_Final_Metro_Var2_NH.mp4
0.495311, a, 3B_Final_Beach1_Var2_NH.mp4
0, a, 8B_Final_Suburb1_Var1_NH.mp4
0.14437, a, 8B_Final_Suburb1_Var1_NH.mp4
0.467761, a, 8B_Final_Suburb1_Var1_NH.mp4
